0,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Selling General And Administration,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
ICE,-0.7891634285813719,-0.31591529711810934,0.12604307080560598,-0.591534894427562,-0.591534894427562,0.2617661521458661,0.23138306219780175,-0.27286491033161775,0.1663654840765859,0.23461074262995057,-0.4957224400857374,0.5250081881305874,0.2067217886741411,0.25628087668905863,-0.4943135589146487,0.43767142358883754,0.44407700333413364,-0.2032986914699686,-0.1975622710670606,0.25751800368797184,0.2575479007659752,0.25628087668905863,0.25871507358717166,0.26411720230701957,0.26710849191603264,0.2518968407175569,-1.1037724687780683,-0.39505519151995905,0.6262856973343531,0.2513277107989259,-0.15069453535510424,-0.12280202000095548,0.036118568930445814,-0.2970615941516611,-0.3011148423755003,-0.29590827347237436,0.6037023671203879
IFF,-1.0443516061864513,0.27088685772553583,0.012595703896560367,-0.8017395913026583,-0.8017395913026583,-3.6853636106369345,0.29393579731063385,0.12038298800057265,-6.4912369988544265,-4.434850016335173,-0.4663110502395076,0.21098526297229075,-0.3503355131544383,-3.732999964479427,0.02816062653664148,-0.24686438648031575,-0.2375986335894977,-0.604846746012505,-0.5778621034405576,-3.7323393876166864,-3.7321482171499016,-3.732999964479427,-3.733918487295615,-3.6854245375599426,0.2410305659432288,-3.8330263780322427,-1.1308334557300637,-0.35453603469153366,0.297808362191474,0.08166984831365215,0.11767034313670162,0.13524038568940908,-0.17201219898619002,0.140650864059413,-0.08686533485602188,-0.0823891320339759,-0.4526146889882782
IP,-0.8171856489008305,0.27088685772553583,0.08882418865461043,-0.6024204998439732,-0.6024204998439732,0.27903323187637663,0.235436201278132,0.5751694000745723,0.14059920781673932,0.20870921687303742,-0.463942745372551,0.3051841936981625,0.22747863495809487,0.25997753338243396,0.45236437240244054,0.06924443449587842,0.07029929419420662,-0.1409541518474298,-0.1374128077834973,0.261215194640028,0.26124494227446604,0.25997753338243396,0.25909083630774404,0.27809606794498437,-3.626044097236519,0.23465873387875233,1.0064645324215824,-0.3512732947522295,0.396343250122173,0.15010196078340912,0.2327720724912873,0.23798410982371615,0.17049132526785724,0.562258934005125,0.35876348428173416,0.36172056027815447,-0.8694559973819102
IPG,-0.8328102566945544,0.8723590664402726,-0.04273497542069537,-0.6045656451442045,-0.6045656451442045,0.22151320358152982,-0.38658139492967514,0.22226522988536193,0.05076573176388276,0.1772646317805353,-0.3876984522359814,-0.14842442299636405,0.16143056801356098,0.2155980701539537,-0.12068068994622405,0.13329740018964759,0.13474760372499342,-0.21191208181255622,-0.20493543108246512,0.21682931747716053,0.21686085922605483,0.2155980701539537,0.2165054212852714,0.22236311166746514,0.2697889996730934,0.2178844363558089,-0.9632633911668639,-0.24623390399154024,-0.07814487692955731,0.127647715637091,-0.6567669284696421,-0.42331037275319716,-0.9199315742265676,0.20465807494262947,-0.19558521819848462,-0.19073839461725167,-1.1286116008949933
INTU,0.43581793900568605,-0.06279818762630299,0.1129057882169799,-0.7190109360818341,-0.7190109360818341,0.2949513903923511,0.08049680187771274,-0.7968183297416788,0.16221976702536767,0.2432619500142486,-0.2920061349397717,-0.5260582837648351,0.2414158587647502,0.28982049740144694,-0.06294487159991587,-0.1533503550054683,-0.15637098913324085,-0.010522812373960345,-0.011681026468177869,0.29106247170834837,0.29109101289076406,0.28982049740144694,0.28893554422678486,0.29401150850104607,0.3101035964099934,0.28462769831850615,0.9637254845044834,-0.11440157535721023,-0.47316114582908014,0.20138638631168473,0.4480061267145854,0.3275964567065538,0.6678504233722945,-0.7247757174708364,-0.06779840517621313,-0.06338720058389331,1.2902640516211452
ISRG,0.43581793900568605,-0.4186056742157474,-0.026778891044048632,-0.7111001765082529,-0.7111001765082529,0.25344890100211864,-0.25183038330316365,-0.8135830129215126,0.07168973079599303,0.1874804832294871,2.154812049232444,0.8078776348442002,0.19062334498864186,0.24787480629537947,-0.6852560752704122,0.05733483265832149,0.051460062911371764,-0.15941141686726035,-0.15371137202807572,0.24911071840839638,0.2491409553159362,0.24787480629537947,0.24854552092580015,0.2540574079133208,0.2503952949933538,0.24056388628332664,1.0428516464967734,3.256503718593937,0.6580798350144522,0.1358442093407406,0.057137223897339454,0.132267928664965,-0.16206884792795803,-0.8449759412479789,-0.6680097429389104,-0.6615524472836198,1.1772315483391296
IVZ,-0.7112936586943273,1.0043895512800929,-0.08421098187676566,-0.49566073498364394,-0.49566073498364394,0.21978185979916517,-0.5444777552963931,-0.4401795076181985,0.032201893299760746,0.16903428004735355,-0.3446782170983011,-0.4998684854936484,0.15134330001805466,0.21384823749185397,-0.674216586388364,0.2643950890854556,0.27005284635152244,-0.2480062889624471,-0.23986092589227606,0.18712756088179497,0.18716030320065183,0.21384823749185397,0.21344765023886783,0.21933834262854104,0.2709784596839811,0.21626594992445677,-0.8975189255597292,-0.18696626436440936,-0.44576583658625213,0.11388457315958057,-0.2558386466005701,-0.1009121032283335,-0.6629220552669517,-0.4406512646005623,-0.691704604145468,-0.7156793084362598,-1.6067238358560159
INVH,1.6416028560089337,0.27088685772553583,-0.1348852150561057,1.7573490418641415,1.7573490418641415,0.1382875374416938,0.007651517402821767,-1.3939112719698343,0.008984284215100767,0.09666322278350703,-0.45921161848573594,0.15929143243664007,0.035177362096633275,0.1314836438800481,-1.5400336621534012,0.5119542963054617,0.5195788747446412,-0.28328017322256777,-0.27362223754175996,0.1325404846820119,0.13257543345636302,0.1314836438800481,0.1309492345551434,0.13773031843918307,0.20979963760150336,0.10326593040916271,0.964009228553124,-0.3447553684215019,0.24373507537931363,0.017319317031547248,-0.41207309022514566,-0.45348778201797957,-1.1984459312672389,-1.4330276037224032,-1.5257147969543128,-1.5163336267647167,-0.5841034350168229
IQV,-0.709061512247871,-0.007844165825195598,0.07808136973333801,-0.5136997856343927,-0.5136997856343927,0.23556618721320643,0.2741404231104943,0.2446201792217423,0.13807445782958175,0.20068911727545513,-0.4792479688821564,0.3216323544137776,0.17107677811896524,0.22980112445728568,0.10762448984240722,-0.4995846725106293,-0.5041868819766434,-0.0745079977760397,-0.0722185508051835,0.23103442447450392,0.2310653920410356,0.22980112445728568,0.22891266399741955,0.23463644510041223,0.24947408377489094,0.22475642635421642,-0.9349212361183692,-0.372358825049238,0.41354851625726,0.15557061948330542,0.12945486579215584,0.16458821221237285,0.004745141587135013,0.22731053915891264,0.03644892207239381,0.04050475263026597,-0.00259773274197505
IRM,1.601703361516977,-1.1961185293835777,-0.0449050079011764,1.7642686886365464,1.7642686886365464,0.17303750688117453,0.08027108198123777,-0.7659000775757273,0.06571327797463525,0.15072579502715255,-0.49286665825922343,0.41305947309990004,0.07981110003782713,0.16660470542284772,-0.792903680250559,-0.1279125815781705,-0.12346566947627176,-0.23118966972215702,-0.22356236164769763,0.16782887198833604,0.16786239437641634,0.16660470542284772,0.16658074767232425,0.17297726664141364,0.11718262083516241,0.15087331525287717,1.0004922403427097,-0.39112086973845644,0.50918400621606,0.08081148171285904,-0.06457370132419114,0.05391929229641147,-0.4981572028537436,-0.790867689152279,-0.8342535411455341,-0.8272295285217623,-0.4874683993274319
