,Name,Close,ChangeCode,Changes,ChagesRatio,Amount,Marcap,Stocks,BPS,PER,PBR,EPS,DIV,DPS
67,SKC,0.8418809721196141,-1.5575289313378622,0.6481583455315542,0.8093012862937543,2.092664925187961,0.35019585755675414,-0.46299407619980726,-0.1403544196192293,-0.10199265053701588,0.5506213617110876,-0.7129229961111375,-1.0345194669518585,-0.693589682529686
68,LG디스플레이,-1.4451344773219579,0.5054232955997039,0.2243074096385576,-0.9290702957966764,-0.08245375360007955,0.30405559409257016,1.6372722223965284,-0.754601252990878,-0.10199265053701588,-0.45168719857514245,-0.7129229961111375,-1.0345194669518585,-0.693589682529686
69,금양,0.3593705920752353,0.5054232955997039,-0.6338599173546702,-1.4518888167261292,0.6882115660554005,0.23795554617254203,-0.11530289019388267,-2.071564197494972,-0.10199265053701588,7.756028354537972,-0.7129229961111375,-1.0345194669518585,-0.693589682529686
70,삼성카드,-0.24264594168428302,-1.5575289313378622,0.373440146341649,0.6742398350536456,-0.9422633493774787,0.2361370947993681,0.447157708169798,0.32827591449324195,-0.09697027079405739,-0.4551917739607586,-0.08238701682740564,1.73921979236504,0.3163727527881978
71,삼성E&A,-0.7032890206151342,0.5054232955997039,0.25570377526026106,0.04250078893055678,0.2427461416224172,0.23208016421501065,0.8750593386797624,-0.7952630759546299,-0.09760161514027675,-0.17132116772584732,-0.2882965950736252,-1.0345194669518585,-0.693589682529686
72,롯데케미칼,0.6014131923126579,0.5054232955997039,-1.9158781802408944,-2.8068601501349613,0.7564137956514342,0.21464113564213358,-0.36382080516731763,1.5416481787309169,-0.10199265053701588,-0.5393015832155471,-0.7129229961111375,0.4331386848226171,0.7203577269153514
73,미래에셋증권,-1.7260973979415857,0.5054232955997039,0.2740183218729214,-0.3539699227742783,-0.6452601166207113,0.1737265071639865,1.779285681230692,-0.7713080919164124,-0.09220326629226627,-0.5007512539737691,-0.6542967301332595,-0.11442796507489374,-0.632991936410613
74,카카오페이,-0.44075498093063087,0.5054232955997039,0.17721286120600244,-0.2624766816116241,-0.4522081535514175,0.1673198847763859,0.5687566800283146,-0.9777820137641285,1.1002146722852253,0.16511806929330672,-0.710825257780479,-1.0345194669518585,-0.693589682529686
75,LG유플러스,-1.4756709304825897,2.56837552253727,0.3080310512964335,0.4041169325734283,-0.4936418945712878,0.15476348160941783,1.5269360409208241,-0.7133185333342597,-0.09720436476512749,-0.4657055001176072,-0.5529428465782839,1.950167600112442,-0.43099944934703627
76,엔씨소프트,1.1203715214647072,0.5054232955997039,0.020231033097485175,0.16013495613968362,0.19341877738283955,0.15386346440077814,-0.9067035016410221,0.8991558164942314,-0.08879826307670122,-0.21688064773885782,0.440391456628814,-0.31191101913629093,0.5708832864883046
