,Code,Name,Close,ChangeCode,Changes,ChagesRatio,Amount,Marcap,Stocks,BPS,PER,PBR,EPS,DIV,DPS
77,302440,SK바이오사이언스,54800,2,-1400,-2.49,7308034500,4210160700000,76827750,22178,188.32,2.47,291,0.0,0
78,021240,코웨이,56100,1,100,0.18,10416489600,4140158625900,73799619,36380,8.64,1.54,6495,2.41,1350
79,078930,GS,43700,1,500,1.16,5110434850,4060402018600,92915378,142065,3.18,0.31,13737,5.72,2500
80,003230,삼양식품,538000,2,-1000,-0.19,57547960000,4052762070000,7533015,75732,31.78,7.1,16929,0.39,2100
81,064350,현대로템,36800,2,-2900,-7.3,107265141350,4016436382400,109142293,15391,24.95,2.39,1475,0.27,100
82,180640,한진칼,60100,1,300,0.5,3614089700,4012412967900,66762279,41041,10.44,1.46,5756,0.5,300
83,004020,현대제철,30050,2,-650,-2.12,18567880850,4010045839250,133445785,145198,8.57,0.21,3506,3.33,1000
84,005940,NH투자증권,12190,2,-40,-0.33,5718886790,3992131124810,327492299,21757,7.68,0.56,1588,6.56,800
85,001040,CJ,136200,2,-2900,-2.08,25316490500,3973907127600,29176998,164443,23.46,0.83,5806,2.2,3000
86,011780,금호석유,140800,2,-5300,-3.63,14311211300,3896313203200,27672679,221466,8.42,0.64,16727,2.06,2900
87,000720,현대건설,34050,2,-450,-1.3,9668566100,3791663798250,111355765,72383,7.14,0.47,4767,1.76,600
88,128940,한미약품,291000,2,-7000,-2.35,14549102000,3727998381000,12810991,75345,25.26,3.86,11522,0.17,500
89,271560,오리온,92300,2,-1400,-1.49,18526751100,3649184983600,39536132,72413,9.69,1.27,9528,1.35,1250
90,071050,한국금융지주,65400,2,-600,-0.91,9324849600,3644479876800,55725992,143392,5.4,0.46,12100,4.05,2650
91,079550,LIG넥스원,160500,2,-10100,-5.92,62597861200,3531000000000,22000000,48286,19.99,3.32,8028,1.21,1950
92,000150,두산,210500,2,-9500,-4.32,36901496000,3478267267500,16523835,91241,0.0,2.31,0,0.95,2000
93,001440,대한전선,18070,2,-620,-3.32,135605632060,3369102711000,186447300,6878,34.82,2.63,519,0.0,0
94,272210,한화시스템,17780,2,-640,-3.47,23558004810,3358986736420,188919389,11443,9.54,1.55,1864,1.57,280
95,016360,삼성증권,37350,1,100,0.27,16563810500,3335355000000,89300000,74162,6.09,0.5,6130,5.89,2200
96,039490,키움증권,129500,1,3700,2.94,10641207400,3305708427000,25526706,178201,8.32,0.73,15563,2.32,3000
97,361610,SK아이이테크놀로지,45100,2,-1450,-3.11,10699501800,3215521399200,71297592,33825,39.15,1.33,1152,0.0,0
98,035250,강원랜드,14810,2,-150,-1.0,12012790910,3168458805000,213940500,18141,8.81,0.82,1681,6.28,930
99,003410,쌍용C&E,7010,3,0,0.0,930177860,3110945930660,443786866,3208,15.93,2.19,440,3.99,280
100,002790,아모레G,35800,1,1900,5.6,11937665450,2952002844000,82458180,37035,27.62,0.97,1296,0.68,245
101,001450,현대해상,33000,1,700,2.17,20942551950,2950200000000,89400000,77223,4.34,0.43,7610,6.25,2063
102,010620,HD현대미포,73300,3,0,0.0,13473087900,2927759521700,39942149,49396,0.0,1.48,0,0.0,0
103,004370,농심,478000,1,9000,1.92,35032351000,2907502876000,6082642,420264,16.08,1.14,29728,1.05,5000
104,018880,한온시스템,5180,2,-60,-1.15,8799903480,2765084000000,533800000,4444,53.96,1.17,96,6.1,316
105,002380,KCC,307500,1,8000,2.67,8405929500,2732589832500,8886471,704004,10.63,0.44,28917,2.6,8000
106,138930,BNK금융지주,8390,1,90,1.08,5120496330,2702321994820,322088438,31746,4.4,0.26,1905,6.08,510
107,004990,롯데지주,25750,2,-50,-0.19,2406042050,2701412852750,104909237,95749,0.0,0.27,0,5.83,1500
108,052690,한전기술,70500,2,-2200,-3.03,17419850800,2694510000000,38220000,14386,82.17,4.9,858,0.73,515
109,036460,한국가스공사,28900,1,100,0.35,3472429900,2667845700000,92313000,112167,0.0,0.26,0,0.0,0
